Num,artwork_name,instagram_account,Artist_name,KeyWords,description,Material,Dimensions
1,"Red lights and plugs going nowhere","@anxietyandre","Andre Kahveciyan","Space, Documentation, Memory, Time, Energy","Andre Kahveciyan's installation 'red lights and plugs going nowhere' transforms the exhibition space into a trace of a rave—an echo of movement, music, and fleeting moments. A4 sheets, scattered across the space, act as portals through time. Capturing glimpses of a night that is neither past nor present. Setlists, cigarette buds, bottle caps, and taped-down cables suggest a history of energy and sound. The spots of red floors reflect the glow of club lights. By altering the gallery's function, the installation explores how space is shaped by human presence, rhythm, and ritual. It is a study of transformation—how spaces absorb and release energy, how memory lingers in objects.","A4 sheets","-"
2,"Erasmus Sacred","","Armand Demulder","Onirism, Empowerment, Robustness, Sensorial experience, Otherness","How does the Erasmus exchange program bring about a cultural and identity transformation (personal and professional)? It all starts with a familiar structure, an established form, my starting point. France, my comfort zone. A defined space, with precise contours, where everything is known and mastered. Then comes the leap into the unknown. The structure breaks down, bends, intertwines.The language changes, the environment is transformed, faces multiply and landmarks fade. A period of exploration and instability, when everything seems to be rebuilt. Little by little, a transition takes place. The sculpture, chaotic at first, begins to find its rhythm. It evolves, seeking a balance between what it was and what it is becoming.There's something dreamlike about this adaptation, a movement between loss and wonder. Then accommodation sets in, adaptation becomes strength.The foreign becomes the familiar.Then the form rises, carried by this transformation. More fluid, freer. Like an impulse towards a new 'me'. For this experience, beyond learning, offers an unexpected power: that of breaking the straight line of the 'ordinary' to soar towards the unknown, towards the sky.There's something sacred about Erasmus. It's a suspended moment, a rite of passage that must be honoured. An immense opportunity, an open door to another version of yourself.","metal, paint","200×300×80 cm"
3,"Redefine Food","","Frederico Matos Pereira","Food Industry, Future Food, Processed, Hyperreality, Redefine Meat","Frederico Pereira explores the future of food through the lens of the modern food industry, highlighting the tension between hyperreality and consumer awareness. A dining table is set with plates of food crafted from plasticine, offering a playful yet unsettling interpretation of what we consume. Surrounded by mirrors, the viewer is prompted to look beyond the surface, revealing a hidden video showing the process of manufacturing these artificial foods. Through this juxtaposition, Frederico aims to challenge the processed nature of contemporary food and the deceptive practices within the industry. The mirrors reflect not only the food but also the unseen forces shaping our consumption choices. By redefining food production in this surreal manner, the work invites viewers to reflect on the importance of informed decision-making and the power of awareness in shaping a more conscious, sustainable future.","plasticine, mirrors","200×200×100cm"
4,"Loss has no Script","@curiousdhairya","Dhairya Garg","Loss, Individual, Emotions, Social Stigma, Voice","Is grief truly a linear path? Are we meant to feel a set of predetermined emotions? How can two experiences be alike when each of us walks a unique path, forms bonds in our own way, and loves differently? How can our grief ever be the same? The only common thread is loss itself—everything else is deeply personal, raw, and unrepeatable. And yet, when someone grieves in a way we don't understand, we stand in quiet judgment, questioning how they could feel what they feel. Today, I ask you to suspend your judgment. Listen to the truths of others, and dare to share your own. What did you truly feel in the face of loss? How did the sadness touch you? What was your experience? #Weave your Grief","threads, nails, Post-lts, headset","200×200×5cm"
5,"Nebokukuevsk","@woshibide","Pyotr Golub","Power, Protest, Transgression, Violence, Repetition","The space flickers. It pulses. It does not wait for the eye to adjust. Light fractures. Darkness spasms. The room breathes in tension. For some, a doorway. For others, a rupture. From the void, something watches. Neither alive nor inert, it lingers—waiting, measuring. A force that does not ask but demands: Who comes forward? It does not speak in words but in the language of disruption, by the pressure of violence. It does not threaten; it questions. Is man its equal? Does he carry something to trade for its negative freedom? This is time's challenge to man, whispered through flickering light and infinite space. The work draws its origin from Aristophanes' Birds, where the will to build a city between sky and earth first brewed. Here, audio-reactive visuals, sensor-driven inputs, and real-time graphics summon that ancient impulse. And the question is due: do you wish to reclaim control over the violence?","mirrors, projector, openFrameworks, Raspberry PI, Pure Data, sonic distance sensor","350×350×350cm"
6,"Self Portrait, 03/25","@ladyslimkeith","Meabh O'Halloran","Identity, Memetic autotheory, Digital culture, Rhizomes, Networked image","Combining biological and digital processes, Meabh creates a sculptural self-portrait that encompasses the plural selves that form and coexist online. As personal meaning is assigned to images, the boundaries between the self/the other and reality/fiction blur. Memes serve as tools for understanding and relating to emotions. A qualitative self emerges as identity is assigned to images through labels and captions of 'me.' Narratives develop around these plural selves, with memes becoming instruments in the ongoing process of identity creation and transformation. Guided by the organic expansion of a rhizomatic root, Meabh collects images based on the decisions of her algorithms. Using memetic autotheory, she explores how we both define and evade description, continuously becoming and unbecoming ourselves.","chicken wire, plaster, laser print",""
7,"Communion","","Romain Bénard","Degradation, Time, Alteration, Cycles, Communion","The relationship between humans and nature has always been complicated, and it is in this urban space where this conflict is most visible. In the city, man is separated from nature, sheltered from the uncertainties it produces. In the cities where Romain grew up and lived the most, the architecture and urban planning seemed to hide these signs of nature that evolved with the city instaed of being against it. His goal is to account for and analyze this change, this decomposition.These forms, caused by numerous events, are both varied and unpredictable, bringing us to ourselves, to the modifications of what we have erected, to a metamorphosis of time. This communion exists between the urban and natural environments, between man and nature, which takes on its whole meaning in degradation. The artist wants to show with this project that we are united by the metamorphosis of time with nature, that we act as two passive actors in a change that only occurs through time. Romain's work highlights in 'unnatural' environments (constructions, textures) this communion and creation that the natural elements (human and nature) engender.","TV screen, webcam, computer","100×60×10cm"
8,"Detached","@sssimcha","Simcha Ziya Moïse","Hair, Waste, Sustainability, Reconsideration, Re-imagination","Hair is always changing—growing, shedding, twisting into knots, or being cut away. It is both a record of time and a way to convey identity.Yet, once separated from us, it often provokes discomfort. Stray hairs on a bathroom sink or a tangled mess serve as unsettling reminders of what was once part of us. Detached, hair is treated as waste—something to be washed away, vacuumed up, and discarded without thought, as if its significance vanishes the moment it leaves our bodies. But is this the way to go forward? In a world striving for sustainability, can hair be rethought as more than just something disposable? Can it still possess beauty when no longer attached to our bodies, or does its value depend solely on being part of us? Instead of dismissing it, its potential could be recognized—transforming what was once overlooked into something purposeful. With this work, Simcha invites the viewer to reconsider the value of hair beyond the body by seeing it as a material with meaning and possibility.","hair, photo prints","59×168×8cm"
9,"Reshaping Futures","@pici.vici","ViCi Feger","Collapse, Reclamation, Community, Regeneration, Action","The system is collapsing. Exploitation, division, and instability are not anomalies—they are the design. But while the old world crumbles, a new one is already taking root. In this work, the artist captures the tension between destruction and regeneration. A large-scale mural depicts the ruins of a failing system gradually transforming into roots and a thriving ecosystem. Overlaid on this surface, a multimodal video collage intensifies the contrast. Chaotic imagery of fear, division, and collapse gives way to scenes of community, resilience, and renewal, revealing that alternative ways of living are not distant ideals, but present realities. Murals, historically tools of resistance, stand as fixed and monumental statements. The projection, in contrast, introduces fluidity—reminding us that the future is not set in stone. It is being shaped, in real-time, by those who refuse to wait.The time to act is now!","painted acrylic mural, two video projections, two pillars","200×600×250cm"
10,"Sleep Tight, Big Shot.","","Anna Silva Zeller","Aestivation, Emissions, Sacrifice, Redistribution, Balance","Not of their gold but of their days shall they be stripped. In her work 'Sleep tight, big shot.' Silva proposes a fictional solution to the injustices of the climate crisis by adapting the concept of aestivation— animal dormancy during hot, dry periods—to humans. In a shell-like space on the ceiling, People will spend a percentage of the year in prolonged states of sleep, in order to reduce emissions while preserving the comforts of modern day life. The duration of dormancy is calculated based on the amount of CO2 each person emits annually beyond a sustainable limit of 1.8 tons, a threshold necessary to achieve net-zero emissions by 2050. An example: In 2022, the average Dutch citizen emitted almost 8 tons of CO2. After the introduction of the co2 limit, they would aestivate for 175 days of the year, leaving them with 190 days of wake-time. In this system, those responsible for the greatest harm will face the consequences of their actions, in contrast to the inequities of our current reality.","Paper, Copper wire, Speaker","400×100×100cm"
